personLabel,occupationLabel,birthdate,deathdate,nationalityLabel,awardLabel
Karina Fidanza Rodrigues Bernardo,botanist,,,,
Karla Norye Yoshida-Arns,botanist,,,,
L.L. Gaddy,botanist,,,,
Lara Dawn Shepherd,botanist,,,,
Lucilla Baldoin,botanist,,,,
M. Victoria Arbeláez,botanist,,,,
Valentina Volkova,physicist,1925-10-17T00:00:00Z,2004-11-06T00:00:00Z,Ukraine,
Marisol Amaya,botanist,,,,
Regina C. Oliveira,botanist,,,,
Rosario Rivera Rubite,botanist,,,,
Stella S. Denison,botanist,,,,
Nicole Capitaine,astronomer,1948-03-14T00:00:00Z,,France,Commander of the Legion of Honour
Maria Klawe,computer scientist,1951-01-01T00:00:00Z,,Canada,honorary doctorate at the Laval University
Lyudmyla Kuchma,engineer,1940-06-19T00:00:00Z,,Ukraine,Grand Cross of the Order of Grand Duke Gediminas
Draga Ljocic-Milosevic,physician,1855-03-06T00:00:00Z,1926-11-05T00:00:00Z,Kingdom of Serbia,
Lucy Leonora Hutchinson Goodrich,botanist,1831-07-21T00:00:00Z,1923-04-05T00:00:00Z,United States of America,
Elene Nanobashvili,chemist,1914-11-08T00:00:00Z,1988-04-01T00:00:00Z,Soviet Union,Order of Lenin
Mariana Weissmann,physicist,1933-12-17T00:00:00Z,,Argentina,Konex Award
Susan Barnes,engineer,,,United States of America,
Annie Marin,botanist,1939-01-01T00:00:00Z,,France,
Lillian Pierce,mathematician,,,,Presidential Early Career Award for Scientists and Engineers
Aishwarya Lekshmi,physician,1990-07-26T00:00:00Z,,,
Anna Martha Fullerton,physician,1853-08-16T00:00:00Z,1938-09-16T00:00:00Z,,
Sandra L. Baldauf,biologist,1951-12-15T00:00:00Z,,,
Diane Greene,engineer,1955-01-01T00:00:00Z,,United States of America,Anita Borg Institute Women of Vision Awards
Lisa P. Jackson,chemist,1962-02-08T00:00:00Z,,United States of America,The James Madison
Emily Steffan Siegerist,botanist,1925-01-01T00:00:00Z,,,
Azniv Petrosyan,biologist,1903-01-08T00:00:00Z,1971-12-27T00:00:00Z,Armenia,Deserved scientist of ArmSSR
Wanda Austin,engineer,1954-01-01T00:00:00Z,,United States of America,Women in Technology Hall of Fame
Mina Bissell,biologist,1940-01-01T00:00:00Z,,United States of America,Gairdner Foundation International Award
Helen Caldicott,physician,1938-08-07T00:00:00Z,,Australia,Lannan Cultural Freedom Prize
Deborah Loewenberg Ball,mathematician,1954-01-01T00:00:00Z,,United States of America,Felix Klein Medal
Karen Spärck Jones,computer scientist,1935-08-26T00:00:00Z,2007-04-04T00:00:00Z,United Kingdom,Lovelace Medal
Myra King Merrick,physician,1825-01-01T00:00:00Z,1899-01-01T00:00:00Z,,
Linda Hsieh-Wilson,chemist,,,United States of America,
Maria Prokhorova,biologist,1901-07-20T00:00:00Z,1993-01-01T00:00:00Z,,"Medal ""For Valiant Labour in the Great Patriotic War 1941–1945"""
Maja Mataric,computer scientist,1965-01-01T00:00:00Z,,Yugoslavia,AAAI Fellow
Draga Ljocic-Milosevic,physician,1855-03-06T00:00:00Z,1926-11-05T00:00:00Z,Principality of Serbia,
Maitane Larrauri Fraile,computer scientist,2000-01-01T00:00:00Z,,Spain,
Larissa Vassilyeva,botanist,1950-02-15T00:00:00Z,2017-02-23T00:00:00Z,Russia,
Vasiliki Kalogera,astronomer,1975-01-01T00:00:00Z,,Greece,Hans A. Bethe Prize
Ruža Aćimović Janežič,physician,1928-05-30T00:00:00Z,,Kingdom of Yugoslavia,
Halina Lipska-Koziołowa,physician,1920-01-01T00:00:00Z,2015-11-08T00:00:00Z,Poland,
Frederica Darema,physicist,1940-01-01T00:00:00Z,,United States of America,IEEE Fellow
Mina Bissell,biologist,1940-01-01T00:00:00Z,,United States of America,John Simon Guggenheim Memorial Foundation Fellowship
Pornthip Rojanasunand,physician,1955-12-21T00:00:00Z,,Thailand,Order of Chula Chom Klao
Q100509677,physician,1966-06-06T00:00:00Z,,Belarus,"Jubilee Medal ""65 Years of Victory in the Great Patriotic War 1941–1945"""
Mina Bissell,biologist,1940-01-01T00:00:00Z,,United States of America,Ernest Orlando Lawrence Award
Isabelle Stone,physicist,1868-01-01T00:00:00Z,1944-01-01T00:00:00Z,United States of America,
Chulabhorn Walailak,chemist,1957-07-04T00:00:00Z,,Thailand,Royal Order of the Seraphim
Heidemarie Stefanyshyn-Piper,engineer,1963-02-07T00:00:00Z,,United States of America,NASA Exceptional Service Medal
Nancy Hingston,mathematician,1950-01-01T00:00:00Z,,,Fellow of the American Mathematical Society
Elizabeth Blackburn,biologist,1948-11-26T00:00:00Z,,United States of America,Grand Prix Charles-Leopold Mayer
Rose Dieng Kuntz,computer scientist,1956-01-01T00:00:00Z,2008-06-30T00:00:00Z,Senegal,Irène-Joliot-Curie Prize
Sunniva Siem,physicist,1969-07-09T00:00:00Z,,Norway,
Lucy Bryce,physician,1897-01-01T00:00:00Z,1968-01-01T00:00:00Z,Australia,Victorian Honour Roll of Women
Teresa Kasprzycka-Guttman,chemist,1935-12-19T00:00:00Z,2009-12-05T00:00:00Z,Poland,
Petra Werner,chemist,1951-01-01T00:00:00Z,,German Democratic Republic,
Susan R. Wessler,botanist,1953-01-01T00:00:00Z,,United States of America,AAAS Fellow
Q20068192,chemist,1916-01-01T00:00:00Z,1995-10-29T00:00:00Z,,Honored Worker of Ukraine
Marie Taylor,botanist,1911-01-01T00:00:00Z,1990-12-01T00:00:00Z,United States of America,
Alice S. Whittemore,mathematician,,,,AAAS Fellow
Alicja Maria Kosakowska,biologist,2000-01-01T00:00:00Z,,Poland,
Sue Black,engineer,1962-01-01T00:00:00Z,,United Kingdom,Fellow of the British Computer Society
Sookyung Choi,physicist,,,South Korea,
Marie Rosenberg,biologist,1907-07-08T00:00:00Z,1982-01-12T00:00:00Z,Austria,
Ann-Sofie Sandberg,chemist,1951-01-01T00:00:00Z,,Sweden,
Terri Young,physician,1959-01-01T00:00:00Z,,,
Joan A. Steitz,biologist,1941-01-26T00:00:00Z,,United States of America,honorary doctor of the University of British Columbia
Diána Ürge-Vorsatz,physicist,1968-01-01T00:00:00Z,,Hungary,
Suzanne Mary Prober,botanist,1964-01-01T00:00:00Z,,Australia,
Sofya Yanovskaya,mathematician,1896-01-31T00:00:00Z,1966-10-24T00:00:00Z,Soviet Union,Order of Lenin
Diane Gashumba,physician,,,Rwanda,
Irēna Fatare,biologist,1937-01-01T00:00:00Z,,,
Cristina Amon,engineer,1901-01-01T00:00:00Z,,,AAAS Fellow
Onintze Salazar,physicist,1971-04-04T00:00:00Z,,Spain,
June Chan,biologist,1956-06-06T00:00:00Z,,United States of America,
Raman Parimala,mathematician,1948-11-21T00:00:00Z,,India,TWAS Prize for Mathematics
Jill Bolte Taylor,biologist,1959-05-04T00:00:00Z,,United States of America,
Nouria Hernandez,biologist,1957-05-13T00:00:00Z,,United States of America,Cloëtta Prize
Carla Cotwright-Williams,mathematician,1973-11-06T00:00:00Z,,United States of America,
Kateryna Makova,biologist,,,,
Lise Meitner,physicist,1878-11-07T00:00:00Z,1968-10-27T00:00:00Z,Austria,Austrian Decoration for Science and Art
Tscharna Rayss,botanist,1890-01-01T00:00:00Z,1965-01-01T00:00:00Z,Israel,
Carolin Crawford,physicist,1963-01-01T00:00:00Z,,United Kingdom,Royal Society University Research Fellowship
Vera Ilyinichna Glebova,chemist,1885-10-29T00:00:00Z,1935-12-16T00:00:00Z,Russian Empire,
Estela de Sousa e Silva,botanist,1921-01-01T00:00:00Z,2000-01-01T00:00:00Z,Portugal,
Valentina Moryakina,botanist,1929-09-24T00:00:00Z,2015-07-22T00:00:00Z,Soviet Union,Order of the Red Banner of Labour
Annikki Palmén,botanist,1929-01-01T00:00:00Z,,,
Darleane C. Hoffman,chemist,1926-11-08T00:00:00Z,,United States of America,Fellow of the American Physical Society
Q55105226,physician,1910-05-23T00:00:00Z,1989-03-21T00:00:00Z,,Order of the Red Star
Q89189702,chemist,1931-01-11T00:00:00Z,1992-08-31T00:00:00Z,,
Lavinia Taverna,botanist,1924-01-01T00:00:00Z,1997-01-01T00:00:00Z,Italy,
Nataliya Lenhauer,physician,1908-08-20T00:00:00Z,1997-02-10T00:00:00Z,Ukraine,Hero of Socialist Labour
Michele Funston,botanist,1963-01-01T00:00:00Z,,United States of America,
Mary K. Gaillard,physicist,1939-04-01T00:00:00Z,,United States of America,Sakurai Prize
Q92573587,physician,1939-07-11T00:00:00Z,,Soviet Union,
Alla Hovhannisyan,physician,1953-07-02T00:00:00Z,,Soviet Union,
Patricia Selinger,engineer,1901-01-01T00:00:00Z,,,Women in Technology Hall of Fame
Mariana Wolfner,biologist,,,United States of America,AAAS Fellow
Zhenan Bao,engineer,1970-01-01T00:00:00Z,,United States of America,L'Oréal-UNESCO Award For Women in Science
Regina Birk,physician,1911-10-08T00:00:00Z,1999-12-01T00:00:00Z,Estonia,
Ana Maria Primavesi,engineer,1920-10-03T00:00:00Z,2020-01-05T00:00:00Z,Brazil,
Monique Adolphe,biologist,1932-03-23T00:00:00Z,,France,Commander of the National Order of Merit
Klára Sárközy,physician,1953-03-12T00:00:00Z,,Slovakia,
Ulana Suprun,physician,1963-01-30T00:00:00Z,,United States of America,
Q65200319,physicist,1916-11-12T00:00:00Z,1971-01-01T00:00:00Z,,
Margret Rey,astronomer,1906-05-16T00:00:00Z,1996-12-21T00:00:00Z,United States of America,
Ayşe Olcay Tiryaki,physician,1955-01-01T00:00:00Z,2008-01-01T00:00:00Z,Turkey,
Vera Rubin,physicist,1928-07-23T00:00:00Z,2016-12-25T00:00:00Z,United States of America,Bruce Medal
Anita Rachlis,physician,,,,
Q12357062,chemist,1912-03-12T00:00:00Z,1965-04-29T00:00:00Z,Hungary,
Zofia Gumińska,botanist,1917-01-31T00:00:00Z,2006-03-16T00:00:00Z,Poland,
Adriana Briscoe,biologist,,,United States of America,AAAS Fellow
Zamin Ki Dost,physician,1866-01-01T00:00:00Z,1947-01-01T00:00:00Z,United States of America,
Elizabeth Blackburn,biologist,1948-11-26T00:00:00Z,,United States of America,Albany Medical Center Prize
Mildred Cohn,engineer,1913-07-12T00:00:00Z,2009-10-12T00:00:00Z,United States of America,National Women's Hall of Fame
Eula Whitehouse,botanist,1892-08-01T00:00:00Z,1974-01-01T00:00:00Z,United States of America,
Kira Arkadjevna Sobolevskaja,botanist,1911-12-12T00:00:00Z,1999-01-01T00:00:00Z,,"Medal ""For Valiant Labour in the Great Patriotic War 1941–1945"""
Kára McCullough,chemist,1991-09-09T00:00:00Z,,United States of America,
Ana María Rodríguez,biologist,1958-02-27T00:00:00Z,,Argentina,
Bernice Pfitzner,physician,1938-05-02T00:00:00Z,,Australia,
Donna Huryn,chemist,,,,Fellow of the American Chemical Society
Cathleen Synge Morawetz,mathematician,1923-05-05T00:00:00Z,2017-08-08T00:00:00Z,United States of America,National Medal of Science
Georgia Lawrence,mathematician,,,United States of America,
Ellen Kandeler,biologist,1957-06-16T00:00:00Z,,Germany,
Q47489334,biologist,1953-09-23T00:00:00Z,2018-08-26T00:00:00Z,,
Henrike Heise,chemist,1971-04-25T00:00:00Z,,Germany,
Nina Jablonski,biologist,1953-08-20T00:00:00Z,,United States of America,
Margarita Mitrofanovna Sovetkina,botanist,1892-06-24T00:00:00Z,1950-02-06T00:00:00Z,Russian Empire,
Loreta Brandão de Freitas,botanist,1962-01-01T00:00:00Z,,Brazil,
Sydney Kustu,biologist,1943-03-18T00:00:00Z,2014-03-18T00:00:00Z,,
Jane Luu,astronomer,1963-01-01T00:00:00Z,,Vietnam,Shaw Prize
Toktayym Ümötalieva,physicist,1962-04-04T00:00:00Z,,Soviet Union,
Veronika Dagmar Elisabeth Peterhoff,physician,1919-04-23T00:00:00Z,,,
Elizabeth Buchanan Cowley,mathematician,1874-05-22T00:00:00Z,1945-04-13T00:00:00Z,United States of America,
Anna Lukianovna Kharadze,botanist,1905-11-30T00:00:00Z,1971-06-20T00:00:00Z,Soviet Union,Order of the Red Banner of Labour
Lenka Záveská Drábková,biologist,1975-11-26T00:00:00Z,,,
Karen Spärck Jones,computer scientist,1935-08-26T00:00:00Z,2007-04-04T00:00:00Z,United Kingdom,Gerard Salton Award
Ardis Herrold,astronomer,,,,
Beatrice Hagen,mathematician,1899-07-04T00:00:00Z,1987-07-22T00:00:00Z,United States of America,
Julie Swetnick,computer scientist,,,,
Karola Franková,physician,1913-08-13T00:00:00Z,1982-01-01T00:00:00Z,,
Ruzena Bajcsy,engineer,1933-01-01T00:00:00Z,,United States of America,ACM Distinguished Service Award
Carolyn Cohen,biologist,1929-06-18T00:00:00Z,2017-12-20T00:00:00Z,United States of America,John Simon Guggenheim Memorial Foundation Fellowship
Sabine Thor-Wiedemann,physician,1957-01-01T00:00:00Z,,Germany,
Q22918608,physician,1886-01-01T00:00:00Z,1956-01-01T00:00:00Z,,Order of the Red Star
Elizabeth Blackburn,biologist,1948-11-26T00:00:00Z,,United States of America,ASCB Public Service Award
Mira Ofran,physicist,1939-01-01T00:00:00Z,,Israel,
Cathleen Synge Morawetz,mathematician,1923-05-05T00:00:00Z,2017-08-08T00:00:00Z,United States of America,George David Birkhoff Prize
Sigrid Liede,botanist,1957-01-01T00:00:00Z,,Germany,
Cathleen Synge Morawetz,mathematician,1923-05-05T00:00:00Z,2017-08-08T00:00:00Z,United States of America,Krieger–Nelson Prize
Mildred Widgoff,physicist,1924-01-01T00:00:00Z,2004-01-01T00:00:00Z,,
Manuela Magno,physicist,1953-01-01T00:00:00Z,1978-01-01T00:00:00Z,Portugal,
Maria Klawe,computer scientist,1951-01-01T00:00:00Z,,Canada,Fellow of the American Mathematical Society
Wang Yening,physicist,1926-10-14T00:00:00Z,2019-02-22T00:00:00Z,,
Elena Kirkova,chemist,1923-07-24T00:00:00Z,2020-04-27T00:00:00Z,Bulgaria,Order of Saints Cyril and Methodius
Regina Tyshkevich,mathematician,1929-10-20T00:00:00Z,2019-11-17T00:00:00Z,Belarus,Medal of Francysk Skaryna
Yuri Mitsui,engineer,1972-01-01T00:00:00Z,,Japan,
Nora Berrah,physicist,2000-01-01T00:00:00Z,,United States of America,Davisson–Germer Prize in Atomic or Surface Physics
Augenija Juknevičienė,physician,1958-05-19T00:00:00Z,,Lithuania,
Lucía Martín González,engineer,1979-01-15T00:00:00Z,,Spain,
Lynne Butler,mathematician,1955-01-01T00:00:00Z,,,
Annie Marc,biologist,1953-01-01T00:00:00Z,,France,Knight of the Legion of Honour
Susan Estrada,computer scientist,2000-01-01T00:00:00Z,,United States of America,Internet Hall of Fame
Anna Benešová,physician,1910-03-12T00:00:00Z,1998-07-10T00:00:00Z,Czechoslovakia,"Medal ""For Bravery Before the Enemy"""
Rose Dieng Kuntz,computer scientist,1956-01-01T00:00:00Z,2008-06-30T00:00:00Z,Senegal,Knight of the Legion of Honour
Susan R. Wessler,botanist,1953-01-01T00:00:00Z,,United States of America,Foreign Member of the Royal Society
Antonina Prikhot'ko,physicist,1906-04-26T00:00:00Z,1995-09-29T00:00:00Z,Ukraine,Order of Friendship of Peoples
Mary Ann Bickerdyke,physician,1817-07-19T00:00:00Z,1901-11-08T00:00:00Z,United States of America,Ohio Women's Hall of Fame
Nina Reistad,physicist,1960-01-01T00:00:00Z,,,
Moira Burke,computer scientist,,,United States of America,
Marilda Carvalho Dias,botanist,1953-01-01T00:00:00Z,,,
Nancy M. Amato,computer scientist,1950-01-01T00:00:00Z,,United States of America,NCWIT Harrold and Notkin Research and Graduate Mentoring Award
Tatiana Vladimirovna Lavrova,botanist,1949-01-01T00:00:00Z,,Soviet Union,
Mirit I. Aladjem,physician,,,,
Marie Reynier,engineer,1956-01-01T00:00:00Z,,France,Commander of the French Order of Academic Palms
Annalisa Crannell,mathematician,,,United States of America,Deborah and Franklin Haimo Awards for Distinguished College or University Teaching of Mathematics
Daniela Stock,biologist,,,Australia,Fellow of the Australian Academy of Science
Jennifer Widom,computer scientist,,,United States of America,Erna Hamburger Prize
Maria Laura Moura Mouzinho Leite Lopes,mathematician,1917-10-18T00:00:00Z,2013-06-20T00:00:00Z,Brazil,
Sara Seager,biologist,1971-07-21T00:00:00Z,,Canada,Nature's 10
Judith Covington,mathematician,,,,
Aleksa Cimerman,biologist,1933-04-26T00:00:00Z,2017-12-01T00:00:00Z,Slovenia,Boris Kidrič Fund award
Sri Rahayu,botanist,,,,
Pascale Cossart,chemist,1948-03-21T00:00:00Z,,France,Balzan Prize
Jan Anderson,biologist,1932-05-12T00:00:00Z,2015-08-28T00:00:00Z,New Zealand,Centenary Medal
Aline Gouget,mathematician,1977-01-01T00:00:00Z,,France,Irène-Joliot-Curie Prize
Dalva Maria Carvalho Mendes,physician,1956-03-01T00:00:00Z,,Brazil,
Valentina Moryakina,botanist,1929-09-24T00:00:00Z,2015-07-22T00:00:00Z,Soviet Union,Honoured Higher education employee of the Russian Federation
Sulamith Goldhaber,physicist,1923-11-04T00:00:00Z,1965-12-11T00:00:00Z,Austria,John Simon Guggenheim Memorial Foundation Fellowship
Germaine Cauquil,chemist,1897-01-01T00:00:00Z,1983-01-01T00:00:00Z,France,
Ana Lucía de la Garza Barroso,physician,1983-01-01T00:00:00Z,,,
Valentina Moryakina,botanist,1929-09-24T00:00:00Z,2015-07-22T00:00:00Z,Soviet Union,"Medal ""For Labour Valour"""
Dona Strauss,mathematician,1934-01-01T00:00:00Z,,,
Hélène Budzinski,chemist,,,France,CNRS silver medal
Peggy Hodges,engineer,1921-06-11T00:00:00Z,2008-11-21T00:00:00Z,United Kingdom,
Amanda Cooper Sarkar,physicist,,,,James Chadwick Medal and Prize
Laurie Winkless,physicist,2000-01-01T00:00:00Z,,,
Christine Kaseba,physician,,,Zambia,
Natasha Raikhel,biologist,1947-01-11T00:00:00Z,,Soviet Union,AAAS Fellow
Gwendoline Joyce Lewis,botanist,1909-03-27T00:00:00Z,1967-11-11T00:00:00Z,United Kingdom of Great Britain and Ireland,
Ann-Marie Holmes,engineer,,,,
Mary Lou Soffa,computer scientist,,,,ACM Fellow
Claire Deschênes,engineer,1954-01-01T00:00:00Z,,,
Norma Jean Lang,botanist,1931-07-25T00:00:00Z,,United States of America,
Catherine Sulem,mathematician,1957-01-01T00:00:00Z,,Canada,Fellow of the American Mathematical Society
Anne Schilling,mathematician,,,,Fellow of the American Mathematical Society
Juliet Brodie,botanist,,,,
Q24351128,chemist,1900-02-24T00:00:00Z,1995-09-04T00:00:00Z,Russia,"Jubilee Medal ""50 Years of Victory in the Great Patriotic War 1941–1945"""
Ann Heinson,physicist,,,,
Verónica Juárez-Jaimes,botanist,1959-01-01T00:00:00Z,,Mexico,
Nina Luzhnaya,chemist,1905-01-01T00:00:00Z,1993-01-01T00:00:00Z,Soviet Union,Stalin Prize
Joanna McGrenere,computer scientist,,,,
Tamar Schlick,computer scientist,,,United States of America,Fellow of the Society for Industrial and Applied Mathematics
Claudia Burton Bradley,physician,1909-11-28T00:00:00Z,1967-10-05T00:00:00Z,Australia,Member of the Order of the British Empire
Marie Duží,computer scientist,1948-10-11T00:00:00Z,,Czech Republic,
Yelena Zaytseva,physician,1921-05-21T00:00:00Z,2005-10-03T00:00:00Z,Russia,Order of the Red Banner of Labour
Jeannette South-Paul,physician,1953-01-01T00:00:00Z,,,
Barbara Keyfitz,mathematician,1944-11-07T00:00:00Z,,United States of America,Noether Lecture
Mary K. Gaillard,physicist,1939-04-01T00:00:00Z,,United States of America,AAAS Fellow
Elizabeth Blackburn,biologist,1948-11-26T00:00:00Z,,United States of America,Companion of the Order of Australia
Jill Tarter,astronomer,1944-01-16T00:00:00Z,,United States of America,Women in Space Science Award
Radia Perlman,computer scientist,1951-12-18T00:00:00Z,,United States of America,SIGCOMM Award
Susan Solomon,chemist,1956-01-19T00:00:00Z,,United States of America,honorary degree of the University of Leeds
Jacqueline S. Moore,chemist,1926-03-19T00:00:00Z,2002-04-11T00:00:00Z,United States of America,
Aline Bonami,mathematician,,,,
Marianne Koch,physician,1931-08-19T00:00:00Z,,Germany,Bavarian Order of Merit
Asima Chatterjee,chemist,1917-09-23T00:00:00Z,2006-11-22T00:00:00Z,British India,Padma Bhushan in science & engineering
Sanghamitra Bandyopadhyay,computer scientist,1968-01-01T00:00:00Z,,India,TWAS Prize for Engineering Sciences
Maria Grekhova,physicist,1902-05-06T00:00:00Z,1995-11-19T00:00:00Z,Soviet Union,Merited Engineering Scientist of the RSFSR
Eleanor Jones,mathematician,1929-08-12T00:00:00Z,,United States of America,
Jolanta Wysocka,physician,1943-01-01T00:00:00Z,,Poland,
Elena Rybak-Akimova,chemist,1961-01-01T00:00:00Z,2018-03-11T00:00:00Z,,
Dorothy Walcott Weeks,physicist,1893-05-03T00:00:00Z,1990-06-04T00:00:00Z,United States of America,John Simon Guggenheim Memorial Foundation Fellowship
Hilda Tellioğlu,computer scientist,1967-09-21T00:00:00Z,,Austria,
Elizabeth May McClintock,botanist,1912-07-07T00:00:00Z,2004-10-19T00:00:00Z,United States of America,Veitch Memorial Medal
Marina Rugelj,mathematician,1964-03-22T00:00:00Z,,Slovenia,
Mirit I. Aladjem,biologist,,,,
Susie Wee,engineer,1975-01-01T00:00:00Z,,United States of America,Women in Technology Hall of Fame
Laure Civeyrel,botanist,1958-01-01T00:00:00Z,,,
Joanne M. Maguire,engineer,1954-01-01T00:00:00Z,,United States of America,Colorado Women's Hall of Fame
Zofia Weigl,biologist,1885-01-01T00:00:00Z,2000-01-01T00:00:00Z,Poland,
Romana Jordan Cizelj,physicist,1966-01-08T00:00:00Z,,Slovenia,
Haykush Baghdatyan,physician,1928-05-28T00:00:00Z,1975-01-01T00:00:00Z,,
Anna A. Vilnet,botanist,1982-01-01T00:00:00Z,,Russia,
Lillian Rosanoff Lieber,mathematician,1886-07-26T00:00:00Z,1986-07-11T00:00:00Z,United States of America,
Grace Hopper,computer scientist,1906-12-09T00:00:00Z,1992-01-01T00:00:00Z,United States of America,Legionnaire of Legion of Merit
Krystyna Bierut-Maminajszwili,engineer,1923-02-12T00:00:00Z,2003-12-21T00:00:00Z,Second Polish Republic,Knight of the Order of Polonia Restituta
Lucy Everest Boole,chemist,1862-08-05T00:00:00Z,1904-12-05T00:00:00Z,United Kingdom of Great Britain and Ireland,Fellow of the Royal Institute of Chemistry
Marguerite S. Chang,chemist,1923-06-21T00:00:00Z,2012-05-05T00:00:00Z,,
Ida Holz,computer scientist,1935-01-30T00:00:00Z,,Uruguay,Internet Hall of Fame
Paula Elizabeth Jameson,botanist,,,New Zealand,Fellow of The New Zealand Institute of Agricultural and Horticultural Science
Ingrid Daubechies,mathematician,1954-08-17T00:00:00Z,,United States of America,Onsager Medal
Jill Tarter,astronomer,1944-01-16T00:00:00Z,,United States of America,Fellow of the Committee for Skeptical Inquiry
Andrea Apolo,biologist,,,,
Winifred Waddell,botanist,1884-10-08T00:00:00Z,1972-08-14T00:00:00Z,Australia,Australian Natural History Medallion
Meta Petrič,botanist,1914-03-04T00:00:00Z,2007-01-01T00:00:00Z,Slovenia,
Araxie Babayan,chemist,1906-05-05T00:00:00Z,1993-02-13T00:00:00Z,Armenia,Order of the Red Banner of Labour
Maria L. Gini,computer scientist,,,,NCWIT Harrold and Notkin Research and Graduate Mentoring Award
Alicja Chybicka,physician,1951-05-10T00:00:00Z,,Poland,Order of the Smile
Christine H Sophie Kabuye,botanist,1938-01-01T00:00:00Z,,,
Sarah Mary Josephine Winstedt,physician,1886-04-04T00:00:00Z,1972-09-09T00:00:00Z,United Kingdom of Great Britain and Ireland,Hunger Strike Medal
Birgit Kamm,chemist,1962-07-10T00:00:00Z,,Germany,
Lise Meitner,physicist,1878-11-07T00:00:00Z,1968-10-27T00:00:00Z,Sweden,Wilhelm Exner Medal
Maria N. Lomonosova,botanist,1949-01-01T00:00:00Z,,Russia,
Ida Ørskov,physician,1922-01-08T00:00:00Z,2007-04-10T00:00:00Z,Denmark,Paul Ehrlich and Ludwig Darmstaedter Prize
Karina Morgenstern,physicist,1968-01-01T00:00:00Z,,Germany,Hertha Sponer Prize
Q24351128,chemist,1900-02-24T00:00:00Z,1995-09-04T00:00:00Z,Russia,"Medal ""In Commemoration of the 800th Anniversary of Moscow"""
Anne Schilling,physicist,,,,Fellow of the American Mathematical Society
Miriam Bokeria,physician,1900-12-22T00:00:00Z,1975-10-15T00:00:00Z,Russian Empire,Honoured Scientists of the Georgian SSR
Sylvia Earle,biologist,1935-08-30T00:00:00Z,,United States of America,Order of the Golden Ark
Daphne L. Smith,mathematician,,,,
Prabhat Kumar Hajra,botanist,1940-01-01T00:00:00Z,,,
Annie Marie Watkins Garraway,mathematician,,,,
Margaret M. Murnane,physicist,1959-01-23T00:00:00Z,,United States of America,Fellow of the American Physical Society
Michèle Leduc,physicist,1942-05-17T00:00:00Z,,France,Commander of the Legion of Honour
